Keyword,Source,Sentence,Note_ID
偏心,content,真爱第一个孩子就不会生第二个了 看到这种评论大家是什么样的心态呢 #不一样的天空#二胎#偏心父母,68868d14000000001d00e57e
偏心,comment,我当了16年独生子女然后多了个妹妹，要是问的话那肯定是当独生子女爽，父母都说是一碗水端平甚至更偏向我，但感觉完全不一样，独生子女完全没有压力，觉得被爱是理所当然的,68868d14000000001d00e57e
偏心,comment,假如一个考上985，一个没考上高中/一个长得很漂亮，一个长得不好看/一个嘴甜，一个大犟种，平心而论做父母的心里真的能没有偏好吗，当然以上这些都是夸张的例子，但基因真就是随机的哪怕同一个父母生的,68868d14000000001d00e57e
偏心,comment,所以有兄弟姐妹的时候，会有一个隐形的竞争压力，就是必须至少和对方差不多，哪怕身高不一样都会当成个事，弱的那个容易焦虑,68868d14000000001d00e57e
偏心,comment,还有就是当独生子女的时候，哪怕他们对我暴力、欺骗、做了伤害我的事、不是合格的父母，鉴于我们关系的唯一性，我也会像恋爱脑爱渣男那样“反正他爱我”，从而不去想更多,68868d14000000001d00e57e
偏心,comment,但是有了兄弟姐妹之后，好像突然冷静下来，开始审视小时候遭遇的一切，会复盘、怨恨、失望，总之就是回不去了,68868d14000000001d00e57e
偏心,comment,回复：你说的太真实了,68868d14000000001d00e57e
偏心,comment,真的是这样，而且我现在是妈妈，从妈妈的角度来看我女儿太难带了，一身反骨，我时常想如果我真的生二胎的话，二胎但凡乖一点点我都会无限放大去宠爱二胎，所以我不敢生，不敢想，保留我对我女儿唯一的爱吧,68868d14000000001d00e57e
偏心,comment,回复：是的，我14岁的时候有了妹妹，然后我就是那个要懂事要理解父母的人，我以前就像恋爱脑一样无论父母做什么总有他们的理由我能理解，直到上周跟妈妈吵架了，到现在人家都没有给我打电话，家里任何人也没有给我打电话啥的，我突然发现我装不下去了，我的父母不爱我，哪怕人家早就说过了我还是一厢情愿觉得我的父母最爱我，现在好了终于现实了，从小到大我最怕父母说我没用，怕他们对我失望，我尽自己最大努力上学工作，毕业后给家里人买衣服买家电，带妈妈出去旅行，虽然没有花很多钱但是也是尽自己最大努力了，结婚的时候我妈嫌弃我对象家给的彩礼少，我对象给了12万彩礼我本来说准备给妈妈留下6万我带走6万因为我们婚后要买房子了,68868d14000000001d00e57e
偏心,comment,我特别认同的是父母也是人，人都喜欢对自己好的，减轻自己负担的，提供情绪价值的,68868d14000000001d00e57e
偏心,comment,这个社会对父母的要求未免也太高了,68868d14000000001d00e57e
偏心,comment,我女儿上小学后开始催我二胎的. 她是我自己带的 从小灌输思想一个好 当独生女. 我和老公都是独生子女. 她就是说她很孤单外婆家就她奶奶家也就她一个小孩. 现在妹妹2周岁 她5升6. 她说她超级喜欢妹妹. 有妹妹真好. 我觉得妹妹好烦我好累. 她都护着妹妹,68868d14000000001d00e57e
偏心,comment,回复：没有兄弟姐妹也是会复盘怨恨和失望，关键在于父母的作为,68868d14000000001d00e57e
偏心,comment,回复：跟你一样的想法，我女儿也很难带，高敏感，如果我生二胎，恰好二胎更好带更可爱的话，我很难保证自己不偏向，所以坚决不生二胎,68868d14000000001d00e57e
偏心,comment,我养了两只鹦鹉都有偏爱呢，做不到完全不偏爱,68868d14000000001d00e57e
偏心,comment,养两只猫我都偏爱其中一只，实在端不平的,68868d14000000001d00e57e
偏心,comment,就是这样，我嫉妒心强疑心病重我需要所有爱都流向我，作为独生子女我感谢当年的政策不然我觉得我得憋屈死过一生,68868d14000000001d00e57e
偏心,comment,回复：啊啊啊啊真的是会有这样的感觉形容的太好了,68868d14000000001d00e57e
偏心,comment,好奇那些独生子女觉得自己孤独的是在一个怎样的家庭里长大的，是要养老了才开始觉得孤独的还是小时候觉得孤独的，因为我身边认识的所有独生子女没有一个觉得孤独的,68868d14000000001d00e57e
偏心,comment,还有谈恋爱都知道离开物质的爱是一盘散沙，怎么到了亲情就觉得只要有足够的爱就算物质被分掉一半也无所谓呢,68868d14000000001d00e57e
偏心,comment,我就是独生女，我从小就觉得孤独啊，小时候爸妈都上班，住在楼房里没人玩啊，我自己听歌，自己玩过家家，自己和自己说话,68868d14000000001d00e57e
偏心,comment,唯一开心的就是和隔壁邻居家小孩一起玩，现在30年了，我们一直都是发小闺蜜,68868d14000000001d00e57e
偏心,comment,要说父母的爱什么的，小孩子那时候也不懂啊,68868d14000000001d00e57e
偏心,comment,我小时候除了同学就是自己一个人，父母感情不好也都是自己消化，长辈的期许压力也都在我身上，当时就想着如果有个兄弟姐妹就好了，长大了也很依赖跟男友的亲密关系,68868d14000000001d00e57e
偏心,comment,我知道这跟家庭环境和自身性格有关，不能归咎于自己是独生子女，但多少有影响吧，不过还是很感谢自己是独生女，可以让我妈妈全身心对我好,68868d14000000001d00e57e
偏心,comment,回复：姐妹，说明你还年轻，我年轻时候也觉得朋友就够了,68868d14000000001d00e57e
偏心,comment,以前人没有爱不爱，单纯想多生几个为自己养老吧,68868d14000000001d00e57e
偏心,comment,我公婆就是 可太爱自己了,68868d14000000001d00e57e
偏心,comment,爱自己才不会生孩子,68868d14000000001d00e57e
偏心,comment,真的不会觉得哇塞我娃太可爱了，我想再生一个，再养一遍她小时候的感觉吗,68868d14000000001d00e57e
偏心,comment,回复：我生的也蛮开心的就是越养越觉得养不起…虽然喜欢也只能无奈放弃,68868d14000000001d00e57e
偏心,comment,真的从小没有感受到过父母偏心，和弟弟差七岁，从小我弟就对我好，让我喊他哥哥，长大了不开这种玩笑了，但是也是有一千块就舍得给我买一千块香水的弟弟我结婚了他上大学，我会偶尔赏他点零花钱，算是“双向奔赴”,68868d14000000001d00e57e
偏心,comment,回复：但如果你父母把资源都分给了你妹妹，你妹妹很讨厌你啦,68868d14000000001d00e57e
偏心,comment,真爱第一个朋友就不会交第二个，毕竟精力也被分出去一半了,68868d14000000001d00e57e
偏心,comment,有些人是不是分不清友情爱情和亲情的关系啊，亲情要什么专一性,68868d14000000001d00e57e
偏心,comment,回复：爱情就一定有专一性么,68868d14000000001d00e57e
偏心,comment,回复：爱情不一定有，但是大多数人要求有,68868d14000000001d00e57e
偏心,comment,回复：很多说结婚过到最后是亲情么，那有没有专一性呢,68868d14000000001d00e57e
偏心,comment,回复：但是我觉得伴侣就是伴侣，不可能是亲情，哪怕我爸妈年过半百了我也觉得他俩是爱情,68868d14000000001d00e57e
偏心,comment,特别特别爱第一个孩子的话，确实生不出来二胎，但是说实话亲子关系没有必要爱到那么深的程度,68868d14000000001d00e57e
偏心,comment,是的，单说资源充足的幸福家庭的话，多子女家庭氛围更轻松，少一点父母盯着一个孩子的专注力，独生家庭关系更紧密，可以说在人类历史上也是少数能建立这样小家庭关系的状况了,68868d14000000001d00e57e
偏心,comment,资源不足的情况下那很完蛋了,68868d14000000001d00e57e
